timestamp,open,high,low,close,volume,time_iran,ghodrat_5,kharid_be_forosh_5,kharidar_be_foroshande_5
1751729940000,0.015560171671785854,0.01569271716373654,0.015513706286077338,0.01569271716373654,3307.6688690487103,2025-07-05 19:09:00+03:30,0.0,0.0,0.0
1751730000000,0.01569271716373654,0.01569271716373654,0.015686077468321756,0.015686077468321756,5377.348210680764,2025-07-05 19:10:00+03:30,0.0,0.0,0.0
1751730060000,0.015686077468321756,0.01569083546917608,0.015560320803083354,0.015560320803083354,1919.1089391496937,2025-07-05 19:11:00+03:30,0.0,0.0,0.0
1751730120000,0.015560320803083354,0.01564501722748194,0.015517134460739865,0.01564501722748194,4774.763926167337,2025-07-05 19:12:00+03:30,0.0,0.0,0.0
1751730180000,0.01564501722748194,0.015674427145212156,0.01564501722748194,0.015674427145212156,3304.0197255506623,2025-07-05 19:13:00+03:30,0.0,0.0,0.0
1751730240000,0.015674427145212156,0.01576224413375566,0.015637254337375783,0.015707222574911153,3751.5342895116396,2025-07-05 19:14:00+03:30,0.0,0.0,0.0
1751730300000,0.015707222574911153,0.015715342857752546,0.015681013200444245,0.015681013200444245,3394.083587100001,2025-07-05 19:15:00+03:30,0.0,0.0,0.0
1751730360000,0.015681013200444245,0.015681013200444245,0.015555450319689745,0.015569389645139597,2431.7036938584347,2025-07-05 19:16:00+03:30,0.0,0.0,0.0
1751730420000,0.015569389645139597,0.015737871969725616,0.015550582603799528,0.015737871969725616,5905.177817062994,2025-07-05 19:17:00+03:30,0.0,0.0,0.0
1751730480000,0.015737871969725616,0.015751312769327615,0.015455996544715049,0.015455996544715049,3591.618452865758,2025-07-05 19:18:00+03:30,0.0,0.0,0.0
1751730540000,0.015455996544715049,0.015455996544715049,0.015442201590756764,0.015442201590756764,4109.590878565302,2025-07-05 19:19:00+03:30,0.0,0.0,0.0
1751730600000,0.015442201590756764,0.015569824795418262,0.015438985609098423,0.015565742764616685,3346.388750124313,2025-07-05 19:20:00+03:30,0.0,0.0,0.0
1751730660000,0.015565742764616685,0.015648301521406106,0.015512169301920498,0.015648301521406106,2693.9768607220612,2025-07-05 19:21:00+03:30,0.0,0.0,0.0
