timestamp,time_iran,month,day_of_week,day,hour,open,high,low,close,volume
1756563780000,2025-08-30 17:53:00,8,5,30,14,6.44029199648506e-05,7.015186636355947e-05,6.335205585425671e-05,6.566610751125723e-05,2856.2518641387583
1756563840000,2025-08-30 17:54:00,8,5,30,14,6.566610751125723e-05,7.634785809496053e-05,6.533662086117108e-05,7.605927045867284e-05,5038.340571629857
1756563900000,2025-08-30 17:55:00,8,5,30,14,7.605927045867284e-05,8.337774815843318e-05,7.201509563478577e-05,7.382273303630827e-05,7125.882722608218
1756563960000,2025-08-30 17:56:00,8,5,30,14,7.382273303630827e-05,7.762297326455999e-05,6.278658966993688e-05,7.762297326455999e-05,13238.522508139893
1756564020000,2025-08-30 17:57:00,8,5,30,14,7.762297326455999e-05,7.801582729324376e-05,5.373247905848518e-05,5.8287457144146234e-05,14951.641266718612
1756564080000,2025-08-30 17:58:00,8,5,30,14,5.8287457144146234e-05,6.290733029862482e-05,5.181247338964035e-05,5.582339228699145e-05,9369.232685187937
1756564140000,2025-08-30 17:59:00,8,5,30,14,5.582339228699145e-05,6.881413284952231e-05,5.582339228699145e-05,6.145475339860895e-05,10800.986923600254
1756564200000,2025-08-30 18:00:00,8,5,30,14,6.145475339860895e-05,8.56585158067465e-05,6.145475339860895e-05,7.798432448122056e-05,15100.901140736165
1756564260000,2025-08-30 18:01:00,8,5,30,14,7.798432448122056e-05,8.623080113326589e-05,7.47351677524399e-05,7.597384716665254e-05,11321.939709472688
1756564320000,2025-08-30 18:02:00,8,5,30,14,7.597384716665254e-05,7.597384716665254e-05,4.6705487518717075e-05,5.4541625530142704e-05,23642.46697762612
1756564380000,2025-08-30 18:03:00,8,5,30,14,5.4541625530142704e-05,5.611211934890405e-05,3.887360048888633e-05,4.4868724620478656e-05,20436.111960515165
1756564440000,2025-08-30 18:04:00,8,5,30,14,4.4868724620478656e-05,5.022496803764901e-05,4.015242834322123e-05,4.8312762456730166e-05,9980.37852867723
1756564500000,2025-08-30 18:05:00,8,5,30,14,4.8312762456730166e-05,6.180003067918898e-05,4.069743400396821e-05,4.570481924445007e-05,13634.95259857254
1756564560000,2025-08-30 18:06:00,8,5,30,14,4.570481924445007e-05,5.1411014959741284e-05,4.359754486353126e-05,5.131581537538274e-05,7060.5706080539985
1756564620000,2025-08-30 18:07:00,8,5,30,14,5.131581537538274e-05,5.145616501600508e-05,4.044204036740529e-05,4.044204036740529e-05,4795.292718418431
1756564680000,2025-08-30 18:08:00,8,5,30,14,4.044204036740529e-05,4.051648669132701e-05,2.9254745545596584e-05,3.380211605226465e-05,19112.879586949886
1756564740000,2025-08-30 18:09:00,8,5,30,14,3.380211605226465e-05,3.799813128913077e-05,2.9610085942551367e-05,3.799813128913077e-05,5817.4756186508275
