timestamp,time_iran,month,day_of_week,day,hour,open,high,low,close,volume
1756493640000,2025-08-29 22:24:00,8,4,29,18,0.03393362304901954,0.03393426446920231,0.03393362304901954,0.03393426446920231,40.44465853691712
1756493700000,2025-08-29 22:25:00,8,4,29,18,0.03393426446920231,0.04039520100553596,0.03393426446920231,0.039896512032735955,208974.9954859964
1756493760000,2025-08-29 22:26:00,8,4,29,18,0.039896512032735955,0.04008776539038788,0.038077476639571235,0.03855536880978617,61721.46566391393
1756493820000,2025-08-29 22:27:00,8,4,29,18,0.03855536880978617,0.0385806462220019,0.03559606172927472,0.03588225967984633,89011.23659008551
1756493880000,2025-08-29 22:28:00,8,4,29,18,0.03588225967984633,0.03588325151949384,0.03509153121737965,0.03517154818580861,22389.815820496362
1756493940000,2025-08-29 22:29:00,8,4,29,18,0.03517154818580861,0.035238775115874504,0.034705414350041285,0.0350512713639514,15927.93096596409
1756494000000,2025-08-29 22:30:00,8,4,29,19,0.0350512713639514,0.03505138404089822,0.03114420213766111,0.03118105501580473,123612.61515021506
1756494060000,2025-08-29 22:31:00,8,4,29,19,0.03118105501580473,0.03211214450603268,0.03037869226043535,0.03037869226043535,90787.03060813787
1756494120000,2025-08-29 22:32:00,8,4,29,19,0.03037869226043535,0.03037869226043535,0.02840104144157365,0.028638723565009447,69297.45722886517
1756494180000,2025-08-29 22:33:00,8,4,29,19,0.028638723565009447,0.028638723565009447,0.027296421342397622,0.027296421342397622,44686.18890733971
1756494240000,2025-08-29 22:34:00,8,4,29,19,0.027296421342397622,0.02744789119265957,0.027175099943607346,0.027175099943607346,3132.692929170772
1756494300000,2025-08-29 22:35:00,8,4,29,19,0.027175099943607346,0.027175099943607346,0.026379081617827732,0.026379081617827732,27929.71519477193
1756494360000,2025-08-29 22:36:00,8,4,29,19,0.026379081617827732,0.026379081617827732,0.02454007553704437,0.02454007553704437,68825.43384207194
1756494420000,2025-08-29 22:37:00,8,4,29,19,0.02454007553704437,0.024684390806421777,0.023897231664957438,0.023897231664957438,41716.422397480725
1756494480000,2025-08-29 22:38:00,8,4,29,19,0.023897231664957438,0.024059275329425603,0.02382979070819765,0.02382979070819765,4554.110065137833
1756494540000,2025-08-29 22:39:00,8,4,29,19,0.02382979070819765,0.024342729834881605,0.02381282433569997,0.024189571543134763,39252.31815100155
1756494600000,2025-08-29 22:40:00,8,4,29,19,0.024189571543134763,0.02469830131823851,0.024189571543134763,0.02432509855950512,30644.83618500913
1756494660000,2025-08-29 22:41:00,8,4,29,19,0.02432509855950512,0.02451455058237915,0.024301940903421696,0.024301940903421696,2980.243970098236
1756494720000,2025-08-29 22:42:00,8,4,29,19,0.024301940903421696,0.024579284690926673,0.024003616679477445,0.024003616679477445,31667.61396825715
1756494780000,2025-08-29 22:43:00,8,4,29,19,0.024003616679477445,0.024003616679477445,0.023729886549410738,0.023729886549410738,15366.938293898596
1756494840000,2025-08-29 22:44:00,8,4,29,19,0.023729886549410738,0.023729886549410738,0.022976991412370442,0.022976991412370442,56809.37505674656
1756494900000,2025-08-29 22:45:00,8,4,29,19,0.022976991412370442,0.02298302661066644,0.02279730697298423,0.02298302661066644,1462.169797354452
1756494960000,2025-08-29 22:46:00,8,4,29,19,0.02298302661066644,0.022987686413872273,0.022735990994069522,0.022735990994069522,4282.264287811923
1756495020000,2025-08-29 22:47:00,8,4,29,19,0.022735990994069522,0.022735990994069522,0.0225556559881554,0.0225556559881554,22555.6559881554
1756495080000,2025-08-29 22:48:00,8,4,29,19,0.0225556559881554,0.0225556559881554,0.022356169046031243,0.022530251211428466,2038.2776992771026
1756495140000,2025-08-29 22:49:00,8,4,29,19,0.022530251211428466,0.02320971656046864,0.022530251211428466,0.02320971656046864,49716.61695230871
1756495200000,2025-08-29 22:50:00,8,4,29,19,0.02320971656046864,0.023331574254952494,0.023142214779106378,0.02333027300572539,1642.819049942832
1756495260000,2025-08-29 22:51:00,8,4,29,19,0.02333027300572539,0.023351844927000993,0.02333027300572539,0.023351844927000993,2018.1031275390092
1756495320000,2025-08-29 22:52:00,8,4,29,19,0.023351844927000993,0.023443706123254235,0.023351844927000993,0.023443706123254235,4732.26819588976
1756495380000,2025-08-29 22:53:00,8,4,29,19,0.023443706123254235,0.023486498576715677,0.023283330200165406,0.023486498576715677,4623.397513781707
