timestamp,time_iran,month,day_of_week,day,hour,open,high,low,close,volume
1756761600000,2025-09-02 00:50:00,9,0,1,21,5.686656092865901e-06,6.47414015758196e-06,5.686656092865901e-06,6.47414015758196e-06,509.4604027413055
1756761660000,2025-09-02 00:51:00,9,0,1,21,6.47414015758196e-06,8.059688872896452e-06,6.47414015758196e-06,8.059688872896452e-06,774.3549306601043
1756761720000,2025-09-02 00:52:00,9,0,1,21,8.059688872896452e-06,8.059688872896452e-06,7.621513434935007e-06,7.878326957359742e-06,498.03954517968117
1756761780000,2025-09-02 00:53:00,9,0,1,21,7.878326957359742e-06,8.933334245083582e-06,7.878326957359742e-06,8.933334245083582e-06,410.4149169470233
1756761840000,2025-09-02 00:54:00,9,0,1,21,8.933334245083582e-06,1.004961352191564e-05,8.933334245083582e-06,1.004961352191564e-05,503.981538710344
1756761900000,2025-09-02 00:55:00,9,0,1,21,1.004961352191564e-05,1.0151474450733729e-05,1.004961352191564e-05,1.0151474450733729e-05,111.84116043516089
1756761960000,2025-09-02 00:56:00,9,0,1,21,1.0151474450733729e-05,1.0151474450733729e-05,8.6732895512577e-06,8.6732895512577e-06,575.7892548596113
1756762020000,2025-09-02 00:57:00,9,0,1,21,8.6732895512577e-06,9.013877323419335e-06,8.649685820694014e-06,9.013877323419335e-06,192.67340445967974
1756762200000,2025-09-02 01:00:00,9,0,1,21,9.013877323419335e-06,1.0773273390436458e-05,9.013877323419335e-06,1.0773273390436458e-05,788.7188009838835
1756762320000,2025-09-02 01:02:00,9,0,1,21,1.0773273390436458e-05,1.1410399529395838e-05,1.0773273390436458e-05,1.1410399529395838e-05,192.38809064287068
1756762560000,2025-09-02 01:06:00,9,0,1,21,1.1410399529395838e-05,1.2471654573043666e-05,1.1410399529395838e-05,1.2471654573043666e-05,466.89773850923245
1756762680000,2025-09-02 01:08:00,9,0,1,21,1.2471654573043666e-05,1.2747750745085034e-05,1.2313599517121501e-05,1.2747750745085034e-05,229.37817236738098
1756762800000,2025-09-02 01:10:00,9,0,1,21,1.2747750745085034e-05,1.294184237602493e-05,1.2747750745085034e-05,1.294184237602493e-05,96.91860857858161
1756762860000,2025-09-02 01:11:00,9,0,1,21,1.294184237602493e-05,1.3759394284694283e-05,1.294184237602493e-05,1.3759394284694283e-05,280.26238780214186
1756762980000,2025-09-02 01:13:00,9,0,1,21,1.3759394284694283e-05,1.530938462141989e-05,1.3759394284694283e-05,1.530938462141989e-05,474.57270192116
1756763040000,2025-09-02 01:14:00,9,0,1,21,1.530938462141989e-05,1.613861064944688e-05,1.530938462141989e-05,1.60039963226154e-05,365.64402173021796
1756763100000,2025-09-02 01:15:00,9,0,1,21,1.60039963226154e-05,1.60039963226154e-05,1.553119717272912e-05,1.553119717272912e-05,190.50616638620255
1756763160000,2025-09-02 01:16:00,9,0,1,21,1.553119717272912e-05,1.553119717272912e-05,1.4944787123454892e-05,1.4944787123454892e-05,185.37359288002233
1756763220000,2025-09-02 01:17:00,9,0,1,21,1.4944787123454892e-05,1.4944787123454892e-05,1.4788707686848838e-05,1.4788707686848838e-05,201.02888650135216
1756763280000,2025-09-02 01:18:00,9,0,1,21,1.4788707686848838e-05,1.642833653271057e-05,1.4784585339206447e-05,1.642833653271057e-05,765.3418945165491
1756763520000,2025-09-02 01:22:00,9,0,1,21,1.642833653271057e-05,1.710371829076575e-05,1.642833653271057e-05,1.710371829076575e-05,23.18592741762476
1756763640000,2025-09-02 01:24:00,9,0,1,21,1.710371829076575e-05,2.0261621961223295e-05,1.710371829076575e-05,2.0005004875619723e-05,1071.6156195082183
1756763700000,2025-09-02 01:25:00,9,0,1,21,2.0005004875619723e-05,2.039426568951584e-05,2.0005004875619723e-05,2.039426568951584e-05,539.2389426327944
1756763760000,2025-09-02 01:26:00,9,0,1,21,2.039426568951584e-05,2.039426568951584e-05,1.3579227537798714e-05,1.3579227537798714e-05,2008.4264621052919
1756763820000,2025-09-02 01:27:00,9,0,1,21,1.3579227537798714e-05,1.3579227537798714e-05,1.3174799704670904e-05,1.3174799704670904e-05,92.58441933527965
1756764060000,2025-09-02 01:31:00,9,0,1,22,1.3174799704670904e-05,1.3174799704670904e-05,1.3152394223919153e-05,1.3152394223919153e-05,3.823565026940076
1756764120000,2025-09-02 01:32:00,9,0,1,22,1.3152394223919153e-05,1.3290650848346802e-05,1.30991232256186e-05,1.3290650848346802e-05,154.58785635992842
1756764180000,2025-09-02 01:33:00,9,0,1,22,1.3290650848346802e-05,1.345718508906846e-05,1.3290650848346802e-05,1.345718508906846e-05,57.34512405821731
1756764360000,2025-09-02 01:36:00,9,0,1,22,1.345718508906846e-05,1.345718508906846e-05,1.3283614326219821e-05,1.3283614326219821e-05,164.34769373299667
1756764540000,2025-09-02 01:39:00,9,0,1,22,1.3283614326219821e-05,1.3283614326219821e-05,1.2115408344143963e-05,1.2115408344143963e-05,335.4663076756238
1756764780000,2025-09-02 01:43:00,9,0,1,22,1.2115408344143963e-05,1.2115408344143963e-05,1.1951352253191864e-05,1.1951352253191864e-05,103.15060107819326
1756764900000,2025-09-02 01:45:00,9,0,1,22,1.1951352253191864e-05,1.1951352253191864e-05,1.1950069988746858e-05,1.1950069988746858e-05,97.42665855142009
1756765320000,2025-09-02 01:52:00,9,0,1,22,1.1950069988746858e-05,1.2104801923929694e-05,1.1950069988746858e-05,1.2104801923929694e-05,5.793207869236157
1756765440000,2025-09-02 01:54:00,9,0,1,22,1.2104801923929694e-05,1.2180446498922945e-05,1.2104801923929694e-05,1.2180446498922945e-05,47.7987206042605
1756766520000,2025-09-02 02:12:00,9,0,1,22,1.2180446498922945e-05,1.2228396211312667e-05,1.2180446498922945e-05,1.2228396211312667e-05,1.9085966966851418
1756766580000,2025-09-02 02:13:00,9,0,1,22,1.2228396211312667e-05,1.2228396211312667e-05,1.16561247772686e-05,1.16561247772686e-05,410.08797761452524
1756767540000,2025-09-02 02:29:00,9,0,1,22,1.16561247772686e-05,1.16561247772686e-05,1.116608118431748e-05,1.116608118431748e-05,4.798756230611184
1756767660000,2025-09-02 02:31:00,9,0,1,23,1.116608118431748e-05,1.1681955597641856e-05,1.116608118431748e-05,1.1681955597641856e-05,233.42665343594706
1756767720000,2025-09-02 02:32:00,9,0,1,23,1.1681955597641856e-05,1.1685153955573055e-05,1.155481274621134e-05,1.155481274621134e-05,99.54936350575612
